record_id,title,doi,local_path,pdf_signature_valid,mime,bytes,page_count,sha256,extracted_chars_first5,title_token_overlap,doi_match,verification_status,errors
R003,"In-hospital worsening heart failure and associations with mortality, readmission, and healthcare utilization.",10.1161/jaha.114.001088,"/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R003/PDFs/In-hospital_worsening_heart_failure_and_associations_with_mortality,_readmission,_and_healthcare_utilization..pdf",True,application/pdf,351892,11,9c09b45126d025ade52908da2131e013b3d30c1c8d95c60cf76a073945070387,22490,1.0,True,verified_main_pdf,
R019,Prediction of cardiac worsening through to cardiogenic shock in patients with acute heart failure.,10.1002/ehf2.14792,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R019/PDFs/Prediction_of_cardiac_worsening_through_to_cardiogenic_shock_in_patients_with_acute_heart_failure..pdf,True,application/pdf,816002,10,bdb302972663dd647ec3db013ba18f39c0ea16e179a3a88e59bbb02d0b201aeb,20500,1.0,True,verified_main_pdf,
R021,Using Machine Learning for Early Prediction of Cardiogenic Shock in Patients With Acute Heart Failure.,10.1016/j.jscai.2022.100308,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R021/PDFs/Using_Machine_Learning_for_Early_Prediction_of_Cardiogenic_Shock_in_Patients_With_Acute_Heart_Failure..pdf,True,application/pdf,632236,6,1a6a7f85a54f868dbfc3a6c3a4a0b9ec3ef9bcd5301b5cd5ecb89533aaad287f,31773,1.0,True,verified_main_pdf,
R022,Early Prediction of Cardiogenic Shock Using Machine Learning,10.3389/fcvm.2022.862424,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R022/PDFs/Early_Prediction_of_Cardiogenic_Shock_Using_Machine_Learning.pdf,True,application/pdf,1334736,11,9e3c47afcb3be95c0c7bc4450c036bd1969a47abf4dc9948f97c514948b9c649,23708,1.0,True,verified_main_pdf,
R024,Artificial Intelligence in the Early Prediction of Cardiogenic Shock in Acute Heart Failure or Myocardial Infarction Patients: A Systematic Review and Meta-Analysis.,10.7759/cureus.50395,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R024/PDFs/Artificial_Intelligence_in_the_Early_Prediction_of_Cardiogenic_Shock_in_Acute_Heart_Failure_or_Myocardial_Infarction_Patients_A_Systematic_R.pdf,True,application/pdf,281731,9,32e0c8a49eda09d3e94801d01e8387ed95cadbcb0842e79992267214e1cdff7d,17452,1.0,True,verified_main_pdf,
R025,SCAI Cardiogenic Shock Classification for Predicting In-Hospital and Long-Term Mortality in Acute Heart Failure.,10.1016/j.jscai.2022.100496,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R025/PDFs/SCAI_Cardiogenic_Shock_Classification_for_Predicting_In-Hospital_and_Long-Term_Mortality_in_Acute_Heart_Failure..pdf,True,application/pdf,825890,7,d324bed11eacc365c821d292c94ce0105591d80da837cf7b4e943b4c3316f67f,23916,1.0,True,verified_main_pdf,
R026,Machine Learning for Prediction of Outcomes in Cardiogenic Shock.,10.3389/fcvm.2022.849688,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R026/PDFs/Machine_Learning_for_Prediction_of_Outcomes_in_Cardiogenic_Shock..pdf,True,application/pdf,653058,9,b567422544249d834094b1b43cf33433f92a84a9a3d3ba45ec331301ac321f08,22176,1.0,True,verified_main_pdf,
R037,Survival prediction for heart failure complicated by sepsis: based on machine learning methods,10.3389/fmed.2024.1410702,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R037/PDFs/Survival_prediction_for_heart_failure_complicated_by_sepsis_based_on_machine_learning_methods.pdf,True,application/pdf,927612,12,77f3ad92bc14229606a6b502a6c29a36cec6cc86a06ed5e7e2a132d28da59dd2,23656,1.0,True,verified_main_pdf,
R038,Shock Severity Assessment in Cardiac Intensive Care Unit Patients With Sepsis and Mixed Septic-Cardiogenic Shock.,10.1016/j.mayocpiqo.2021.11.008,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R038/PDFs/Shock_Severity_Assessment_in_Cardiac_Intensive_Care_Unit_Patients_With_Sepsis_and_Mixed_Septic-Cardiogenic_Shock..pdf,True,application/pdf,461218,8,29060fc2d1fe0b9948e731431d95c04ea8a9fdc01019a7c8062142a52fcdfe3e,19137,1.0,True,verified_main_pdf,
R040,Fluid resuscitation and outcomes in heart failure patients with severe sepsis or septic shock: A retrospective case-control study.,10.1371/journal.pone.0256368,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R040/PDFs/Fluid_resuscitation_and_outcomes_in_heart_failure_patients_with_severe_sepsis_or_septic_shock_A_retrospective_case-control_study..pdf,True,application/pdf,585248,12,3c0b68cf8bd3dd863e1ade3f7c88b813ef70c3d6f6b7d444e1227c5f4160f7d3,16292,1.0,True,verified_main_pdf,
R043,Impact of initial fluid resuscitation volume on clinical outcomes in patients with heart failure and septic shock.,10.1016/j.jointm.2023.05.001,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R043/PDFs/Impact_of_initial_fluid_resuscitation_volume_on_clinical_outcomes_in_patients_with_heart_failure_and_septic_shock..pdf,True,application/pdf,476066,7,34b49a499b2be8b059574fc769f0d46801253a8cedb28e011df39d0f4a7e62ef,30676,1.0,True,verified_main_pdf,
R045,Association between fluid balance and mortality for heart failure and sepsis: a propensity score-matching analysis.,10.1186/s12871-022-01865-5,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R045/PDFs/Association_between_fluid_balance_and_mortality_for_heart_failure_and_sepsis_a_propensity_score-matching_analysis..pdf,True,application/pdf,1193859,9,3079c77de2f130fee8518602cea2c65e37ed03d9efe4c1dce306d54fd99b3dbe,21074,1.0,True,verified_main_pdf,
