path,artifact_kind,authority_status,analysis_role,engine,replacement_path,allow_final_run,rationale,reviewed_on
project_control/MIMIC_LABEVENTS_SEMANTIC_AUDIT_V2.sql,audit,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/MIMIC_LABEVENTS_TRUNCATION_AUDIT_V1.sql,audit,SUPERSEDED,historical,bigquery,project_control/MIMIC_LABEVENTS_SEMANTIC_AUDIT_V2.sql,false,V1 审计已由包含语义、单位、可用时间和体液隔离的 V2 明确替代。,2026-09-19
project_control/MIMIC_LABITEM_CANDIDATE_DISCOVERY_V1.sql,audit,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/103_query_pre_t0_radiology.sql,export,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/106_query_pre_t0_dhf_radiology.sql,export,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/107_query_dhf_radiology_patient_summary.sql,export,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/108_query_structured_echo_screen_v33.sql,export,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/109_query_landmark12_dhf_radiology.sql,export,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/110_query_landmark12_dhf_radiology_patient_summary.sql,export,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/111_echo_source_inventory.sql,audit,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/111_query_landmark12_radiology_report_audit.sql,audit,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/112_echo_result_audit_template.sql,audit,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/112_query_landmark12_radiology_batch.sql,export,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/113_query_mimic_echo_strict_candidate.sql,export,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
project_control/bigquery/114_export_landmark12_radiology_to_gcs.sql,export,AUDIT_ONLY,audit,bigquery,,false,阶段 A 仅允许质量控制、候选发现或聚合审计，不得生成正式队列、特征或结局。,2026-09-19
