criterion_id,step_id,domain,acceptance_criterion,estimand_or_rule,evidence_artifact,measured_value,status,freeze_timestamp,deviation_note
C01,S01,data_version,"原始输入只读；数据快照、schema、导出文件和哈希可追溯","同一run内所有派生结果引用同一快照；原始DHF_SRR不被写入",run_registry.csv;source_manifest.json,,pending_measurement,2026-09-16T00:00:00+08:00,
C02,S02,keys,"患者、住院和ICU episode键唯一且非空；重复键有处置记录","episode-level分析单位；重复记录不得静默覆盖",cohort_key_qc.json,,pending_measurement,2026-09-16T00:00:00+08:00,
C03,S03,eligibility,"成人边界、index ICU规则和多次ICU拆分规则在两库均可执行","年龄>=18；同一住院多次ICU作为独立episode并保留episode序号",cohort_disposition_working.csv;encounter_icu_time_audit.csv,,pending_measurement,2026-09-16T00:00:00+08:00,
C04,S04,time_axis,"T0、T12、T60、转出、死亡和观察截止顺序无逻辑冲突","预测器仅来自[T0,T12)；随访截止=min(T60,alive index-ICU discharge)并保留缺失时间",time_axis_qc.json,,pending_measurement,2026-09-16T00:00:00+08:00,
C05,S05,phenotype,"DHF标签同时记录A HF锚点、B失代偿/充血、C客观/管理支持及替代诊断","C单独不能构成DHF；否定、不确定和信息不足不编码为阳性",cohort_freeze.csv;semantic_review_audit.csv,,pending_measurement,2026-09-16T00:00:00+08:00,
C06,S06,semantic_review,"语义抽取保留原文、引用行号、模型/Prompt版本和人工裁决状态","AI预审核不能替代临床金标准；若报告kappa需独立第二标注者",AI_REVIEW_PROVENANCE.json;semantic_review_audit.csv,,pending_measurement,2026-09-16T00:00:00+08:00,
C07,S07,laboratory,"单位、比较符号、上下界和item映射均有审计；截断值不被改写为精确值",">xx/<xx保留边界和censor_type；阈值判断仅在整段区间位于阈值一侧时成立",lab_parse_qc.json;MIMIC_LABEVENTS_TRUNCATION_AUDIT_V1.md,,pending_measurement,2026-09-16T00:00:00+08:00,
C08,S08,cleaning,"物理不可能值、统计离群值、结构性缺失和测量性缺失分开编码","不自动删除真实离群；插补、标准化和筛选只在训练折内拟合",data_cleaning_qc.json;MISSING_DATA_AND_ECHO_HANDLING_PLAN_V1.md,,pending_measurement,2026-09-16T00:00:00+08:00,
C09,S09,treatment_proxy,"持续泵入、区间重叠、单次点用、T0前延续不确定和文本支持分别编码","未作废医嘱仅为执行代理；不从总剂量推导泵速或NEE",ORDER_PROXY_CLASSIFICATION_SPEC_V1.md;order_proxy_text_validation_50.csv,,pending_measurement,2026-09-16T00:00:00+08:00,
C10,S10,risk_set,"T12时仍存活且留在index ICU；预设T12前overt shock代理按规则排除或单列","缺乳酸不等于无休克；机械支持和既有恶化状态单独审计",risk_set_qc.json;STATISTICAL_ANALYSIS_PLAN_DHF_PREDICTION_V1.md,,pending_measurement,2026-09-16T00:00:00+08:00,
C11,S11,outcome,"目标事件、活着出ICU竞争事件、行政删失和观察不完整为互斥三态/多态记录","T12后观察不足不得静默编码为无事件；ICU外死亡不改写为ICU死亡",outcomes_frozen.csv;outcome_qc.json,,pending_measurement,2026-09-16T00:00:00+08:00,
C12,S12,leakage,"每个外层验证折均无折外插补、调参、变量筛选或校准","训练折拟合全部预处理；验证折只生成OOF预测",run_registry.csv;fold_map.csv;leakage_audit.json,,pending_measurement,2026-09-16T00:00:00+08:00,
C13,S13,complexity,"模型有效参数数、事件/竞争事件/删失数和样本量精度在锁模前重新计算","若事件数不足则按预设规则降维或收缩，不按结果挑特征",sample_size_complexity_audit.csv;final_feature_manifest.csv,,pending_measurement,2026-09-16T00:00:00+08:00,
C14,S14,internal_validation,"主模型报告竞争风险口径的区分度、Brier、校准和不确定性","Fine-Gray为主；1 h person-period为补充；每折事件组成可追溯",internal_validation/perf_table.csv;calibration_plot.png,,pending_measurement,2026-09-16T00:00:00+08:00,
C15,S15,external_validation,"本院验证使用锁定的特征顺序、预处理参数、系数和同一结局定义","外部验证重点报告校准漂移、case-mix和适用性边界，不重新调参",external_validation/perf_table.csv;external_validation/calibration.csv,,pending_measurement,2026-09-16T00:00:00+08:00,
C16,S15,reporting,"论文、补充材料和数据可用性声明与冻结run完全一致","不得把working/audit数字写为最终Results；AI使用和受限数据访问需披露",manuscript_methods.md;TRIPOD_AI_checklist.csv,,pending_measurement,2026-09-16T00:00:00+08:00,
