feature_key,feature_name,concept,research_role,source_sql,source_relation,source_policy,sample_window,availability_window,aggregation,sequence_order,value_policy,missingness_policy,derived_policy,evidence_refs,freeze_status
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::lactate_max,lactate_max,lactate,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,max,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260920_MIMIC_BIGQUERY_LACTATE_RAW_ONLY.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::lactate_first,lactate_first,lactate,predictor_component,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,first,charttime_then_labevent_id,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260920_MIMIC_BIGQUERY_LACTATE_RAW_ONLY.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::lactate_last,lactate_last,lactate,predictor_component,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,last,charttime_then_labevent_id,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260920_MIMIC_BIGQUERY_LACTATE_RAW_ONLY.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::lactate_delta,lactate_delta,lactate,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,delta_last_minus_first,charttime_then_labevent_id,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260920_MIMIC_BIGQUERY_LACTATE_RAW_ONLY.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::ph_min,ph_min,ph,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,min,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::baseexcess_min,baseexcess_min,base_excess,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,min,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::creatinine_max,creatinine_max,creatinine,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,max,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260920_MIMIC_BIGQUERY_UNEQUAL_DECOMPOSITION.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::creatinine_first,creatinine_first,creatinine,predictor_component,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,first,charttime_then_labevent_id,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260920_MIMIC_BIGQUERY_UNEQUAL_DECOMPOSITION.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::creatinine_last,creatinine_last,creatinine,predictor_component,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,last,charttime_then_labevent_id,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260920_MIMIC_BIGQUERY_UNEQUAL_DECOMPOSITION.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::creatinine_delta,creatinine_delta,creatinine,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,delta_last_minus_first,charttime_then_labevent_id,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260920_MIMIC_BIGQUERY_UNEQUAL_DECOMPOSITION.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::bun_max,bun_max,bun,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,max,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260920_MIMIC_BIGQUERY_UNEQUAL_DECOMPOSITION.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::sodium_min,sodium_min,sodium,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,min,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::sodium_max,sodium_max,sodium,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,max,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::potassium_min,potassium_min,potassium,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,min,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::potassium_max,potassium_max,potassium,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,max,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::chem_bicarbonate_min,chem_bicarbonate_min,bicarbonate,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,min,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::wbc_max,wbc_max,wbc,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,max,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::hemoglobin_min,hemoglobin_min,hemoglobin,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,min,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::platelet_min,platelet_min,platelet,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,min,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/modeling/090B_create_compact_predictors_v34.sql::inr_max,inr_max,inr,predictor,sql_v3_3/modeling/090B_create_compact_predictors_v34.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,max,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/executable/061A_create_ahf_evidence_table_12h_v2.sql::ntprobnp_max_early12,ntprobnp_max_early12,ntprobnp,phenotype_support,sql_v3_3/executable/061A_create_ahf_evidence_table_12h_v2.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,max,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
sql_v3_3/executable/061A_create_ahf_evidence_table_12h_v2.sql::ntprobnp_min_early12,ntprobnp_min_early12,ntprobnp,phenotype_support,sql_v3_3/executable/061A_create_ahf_evidence_table_12h_v2.sql,study_ahf_v3_3.lab_eligible_v1,raw_contract_primary,t0_inclusive_t12_exclusive,t0_inclusive_t12_exclusive,min,not_applicable,exact_numeric_analysis_value,preserve_null_no_derived_fill,reconciliation_only,project_control/task_reports/TASK_REPORT_20260919_MIMIC_LAB_PIPELINE_PHASE_C.md,candidate_not_frozen
