variable_name,domain,source_table,unit_confirmed,unit_status,physiologic_min,physiologic_max,threshold,missing_semantics,structural_zero_allowed,measurement_missing_type,time_semantics,aggregation,qc_action,manual_check_required,notes
age,eligibility,patient_demographics,years,confirmed_dictionary,18,120,18,unknown,0,measurement,T0,baseline,exclude_if_<18,0,Adult eligibility is fixed at 18 years
sex,eligibility,patient_demographics,,confirmed_dictionary,,,unknown,unknown,0,structural,T0,baseline,report_unknown,0,Merge male and female source extracts before analysis
icu_entry_time,episode,icu_event_evidence,,confirmed_dictionary,,,required,unknown,0,measurement,event_time,earliest_valid_event,manual_review_if_conflict,1,Prefer direct ICU entry event; never use document creation time
icu_exit_time,episode,icu_event_evidence,,confirmed_dictionary,,,required,unknown,0,measurement,event_time,episode_specific,manual_review_if_conflict,1,Actual transfer-out/discharge/death event
death_time,outcome,icu_event_evidence,,confirmed_dictionary,,,event_time,structural,0,measurement,event_time,earliest_valid,retain_unknown,1,Hospital death is not automatically ICU death after transfer
hospital_discharge_time,outcome,icu_event_evidence,,confirmed_dictionary,,,event_time,structural,0,measurement,event_time,earliest_valid,retain_unknown,1,Used for administrative censoring only
bnp,biomarker,bnp_general_lab_evidence,pg/mL,confirmed_user,0,100000,age_renal_contextual,not_measured,0,measurement,report_time,closest_or_max_predefined,retain_raw_and_censor_flag,0,Right-censored values such as >5000 remain lower bounds
lactate,biomarker,lactate_report_evidence,mmol/L,confirmed_user,0,30,2,not_measured,0,measurement,report_time,max_pre12_predefined,retain_raw_and_censor_flag,0,Threshold use only after confirmed mmol/L
nt_pro_bnp,biomarker,MIMIC_labevents,pg/mL,manual_check_required,0,100000,age_renal_contextual,not_measured,0,measurement,charttime_or_reporttime,predefined,do_not_threshold_until_confirmed,1,MIMIC label/unit mapping must be audited
troponin,biomarker,lab_results,ng/L_or_ng/mL,manual_check_required,0,100000,assay_specific,not_measured,0,measurement,report_time,peak_predefined,retain_assay_and_unit,1,Do not harmonize assays without conversion rule
creatinine,biomarker,lab_results,mg/dL_or_umol/L,manual_check_required,0,20,assay_specific,not_measured,0,measurement,report_time,peak_predefined,retain_unit_and_source,1,Unit must be confirmed before clinical thresholds
ph,physiology,lab_results,,manual_check_required,6.5,8.0,7.20,not_measured,0,measurement,report_time,worst_predefined,flag_implausible,1,Confirm arterial/venous source and unitless scale
heart_rate,vital_sign,nursing_vitals,bpm,confirmed_dictionary,20,250,none,not_recorded,0,measurement,record_time,first_and_max_predefined,flag_implausible,0,Do not fill absent monitoring as zero
respiratory_rate,vital_sign,nursing_vitals,breaths/min,confirmed_dictionary,3,80,none,not_recorded,0,measurement,record_time,first_and_max_predefined,flag_implausible,0,Do not fill absent monitoring as zero
spo2,vital_sign,nursing_vitals,%,confirmed_dictionary,50,100,90,not_recorded,0,measurement,record_time,min_predefined,flag_implausible,0,Interpret with oxygen delivery mode
map,vital_sign,nursing_vitals,mmHg,confirmed_dictionary,20,200,65,not_recorded,0,measurement,record_time,min_predefined,flag_implausible,0,Use recorded MAP or derive only if method pre-specified
urine_output,organ_support,nursing_vitals,mL,confirmed_dictionary,0,20000,oliguria_contextual,not_recorded,0,measurement,interval_end_time,sum_interval,flag_negative_values,1,Each entry is cumulative since prior emptying; preserve interval length
oxygen_flow,respiratory_support,L1_nursing_oxygen,L/min_or_%,manual_check_required,0,100,mode_specific,not_recorded,0,measurement,record_time,max_predefined,do_not_convert_without_mode,1,Interpret L/min for cannula/mask and % for ventilator when mode confirms
ventilation_mode,respiratory_support,nursing_vitals,,confirmed_dictionary,,,invasive_or_noninvasive,not_recorded,0,measurement,record_time,highest_support_predefined,manual_review_if_conflict,0,Separate intubation from tracheostomy and suction events
intubation,organ_support,intubation_records,,confirmed_dictionary,,,yes,not_documented,1,structural,event_time,first_in_episode,retain_source_excerpt,0,Only airway names mapped in locked dictionary count
loop_diuretic,management,treatment_orders_targeted,route_specific,manual_check_required,,,exposure,not_ordered,1,structural,event_interval,any_valid_interval,exclude_voided_orders,1,Current proxy is valid non-voided order interval; not eMAR execution
vasoactive_infusion,management,pre12_vaso_order_evidence,route_specific,manual_check_required,,,exposure,not_ordered,1,structural,event_interval,any_valid_interval,exclude_voided_orders,1,Do not derive pump rate or NEE from total dose
crrt_or_dialysis,management,treatment_orders_targeted,session_specific,manual_check_required,,,exposure,not_ordered,1,structural,event_interval,any_valid_interval,verify_in_notes,1,Distinguish planned from delivered treatment
hf_anchor,phenotype,semantic_evidence,,confirmed_dictionary,,,A_domain,not_documented,0,information,event_time,any_patient_specific,retain_negation_and_uncertainty,0,Patient-specific HF diagnosis/structure evidence only
congestion_evidence,phenotype,semantic_evidence,,confirmed_dictionary,,,B_domain,not_documented,0,information,event_time,any_positive_domain,retain_negation_and_alternative,0,"Symptoms, signs, or chest imaging consistent with congestion"
management_support,phenotype,semantic_evidence,,confirmed_dictionary,,,C_domain,not_documented,0,information,event_interval,any_patient_specific,retain_source_and_proxy,0,Supportive domain; not sufficient alone
chest_imaging_congestion,phenotype,radiology_reports,,manual_check_required,,,supportive,not_done,0,information,report_time,latest_in_window,do_not_impute,1,Non-chest studies are indeterminate for lung congestion
echo_result_available,phenotype,echo_reports,,confirmed_dictionary,,,availability,not_done,0,measurement,report_time,latest_in_window,do_not_impute,0,Selective test; report coverage separately
dhf_status,phenotype,derived_A_B_C,,confirmed_dictionary,,,confirmed_or_probable,unknown,0,information,T0_window,locked_rule,unknown_requires_review,0,Working label is not clinical gold standard until adjudication
target_event,outcome,icu_event_evidence,,confirmed_dictionary,,,composite,unknown,0,measurement,"[T12,T60)",first_event,retain_component_and_time,1,Predefine hemodynamic deterioration and ICU death components
competing_event,outcome,icu_event_evidence,,confirmed_dictionary,,,alive_icu_exit,structural,0,measurement,"[T12,T60)",first_event,retain_component_and_time,0,Alive exit from index ICU competes with target event
observation_incomplete,outcome,icu_event_evidence,,confirmed_dictionary,,,yes,complete_observation,0,information,"[T12,T60)",any_incomplete,do_not_code_as_no_event,0,Insufficient follow-up is not absence of event
