domain,source_table,source_field_or_concept,required_tier,time_fields_required,unit_or_format_required,analysis_role,notes
identity,encounter_icu,patient_id_token,required,none,stable pseudonymous token,linkage,One token per patient across admissions
identity,encounter_icu,hospitalization_id_token,required,none,stable pseudonymous token,linkage,One token per hospitalization
identity,encounter_icu,icu_stay_id_token,required,intime;outtime,stable pseudonymous token,linkage,One token per physical ICU stay
time_anchor,encounter_icu,emergency_arrival_time,preferred,event_time,ISO 8601 with timezone,pre-T0 evidence window,Needed when ED data precedes admission
time_anchor,encounter_icu,admittime,required,event_time,ISO 8601 with timezone,pre-T0 boundary,Hospital admission start
time_anchor,encounter_icu,intime,required,event_time,ISO 8601 with timezone,T0,Index ICU admission
time_anchor,encounter_icu,outtime,required,event_time,ISO 8601 with timezone,competing event,Index ICU discharge
time_anchor,encounter_icu,dischtime,required,event_time,ISO 8601 with timezone,follow-up audit,Hospital discharge
outcome,encounter_icu,deathtime,required,event_time,ISO 8601 with timezone,main outcome,Keep ICU and hospital death distinguishable
outcome,encounter_icu,icu_discharge_status,required,event_time,coded value,competing-event audit,Alive versus dead ICU discharge
demographics,encounter_icu,age_at_intime,required,event_time,years,predictor,Do not use date of birth in analysis export
demographics,encounter_icu,sex,required,none,coded value,predictor,Document coding
demographics,encounter_icu,icu_unit_type,required,event_time,coded value,predictor,Map local unit labels
body_size,encounter_icu,weight,required,event_time,kg; source flag,NEE calculation,Keep all weights and measurement time
diagnosis,diagnoses_long,all_diagnosis_codes,required,entry_time;confirmation_time;sign_time,ICD/local system,phenotype and sensitivity,Keep admission and discharge diagnoses separate
diagnosis,diagnoses_long,present_on_admission,preferred,entry_time,coded value,comorbidity audit,Do not infer when unavailable
medication,medication_administration_long,iv_loop_diuretic_administration,required,order_time;actual_start;actual_end;chart_time,drug; route; dose; rate; unit,pre-T0 management evidence,Actual administration is required
medication,medication_administration_long,vasoactive_inotrope_administration,required,order_time;actual_start;actual_end;rate_change_time;chart_time,drug; route; concentration; dose; rate; unit,outcome and shock risk set,Must permit concurrent agent reconstruction
medication,medication_administration_long,vasodilator_administration,preferred,order_time;actual_start;actual_end;chart_time,drug; route; dose; rate; unit,phenotype audit,Include nitroglycerin and nitroprusside
medication,medication_administration_long,antibiotic_administration,optional,order_time;actual_start;actual_end;chart_time,drug; route; dose; unit,early-sepsis subgroup,Actual administration preferred
laboratory,laboratory_long,NT-proBNP,required,specimen_time;result_time;verification_time,value; unit; assay,phenotype support,Do not merge with BNP
laboratory,laboratory_long,BNP,required,specimen_time;result_time;verification_time,value; unit; assay,phenotype support,Do not merge with NT-proBNP
laboratory,laboratory_long,lactate,required,specimen_time;result_time;verification_time,mmol/L,shock risk set and predictor,Keep specimen type
laboratory,laboratory_long,creatinine,required,specimen_time;result_time;verification_time,value; unit,predictor,Keep raw unit
laboratory,laboratory_long,BUN,required,specimen_time;result_time;verification_time,value; unit,predictor,Keep raw unit
laboratory,laboratory_long,electrolytes,required,specimen_time;result_time;verification_time,value; unit,predictor,Na K Cl bicarbonate
laboratory,laboratory_long,CBC,required,specimen_time;result_time;verification_time,value; unit,predictor,WBC hemoglobin platelet
laboratory,laboratory_long,coagulation,required,specimen_time;result_time;verification_time,value; unit,predictor,INR PT PTT
laboratory,laboratory_long,blood_gas,required,specimen_time;result_time;verification_time,value; unit,predictor,pH base excess pCO2 pO2 lactate
laboratory,laboratory_long,troponin_and_CKMB,preferred,specimen_time;result_time;verification_time,value; unit,ACS audit,Not a default exclusion
vitals,vitals_long,HR,required,event_time;chart_time,bpm,predictor,Retain all valid raw records
vitals,vitals_long,SBP_DBP_MAP,required,event_time;chart_time,mmHg,predictor,Preserve measurement source where available
