record_id,title,doi,pmid,pmcid,access_route,oa_authorization_evidence_url,license_or_evidence,status,local_path,mime,bytes,page_count,sha256,failure_or_manual_action
R001,"Worsening of Chronic Heart Failure: Definition, Epidemiology, Management and Prevention. A Clinical Consensus Statement by the Heart Failure Association of the European Society of Cardiology",10.1002/ejhf.2874,37208936,,OA_path_unresolved_or_fetch_blocked,https://doi.org/10.1002/ejhf.2874,OpenAlex oa_status=bronze; license=unspecified; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=pdf_fetch_failed; detail=HTTP 403). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R002,"Worsening Heart Failure: Nomenclature, Epidemiology, and Future Directions",10.1016/j.jacc.2022.11.023,36697141,,OA_path_unresolved_or_fetch_blocked,https://doi.org/10.1016/j.jacc.2022.11.023,OpenAlex oa_status=hybrid; license=cc-by-nc-nd; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=oa_not_found). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R003,"In-hospital worsening heart failure and associations with mortality, readmission, and healthcare utilization.",10.1161/jaha.114.001088,25015076,PMC4310402,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4310402/,PMC OA dataset canonical main PDF; article license=CC BY-NC; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC4310402.1/PMC4310402.1.pdf; SI=no,verified_main_pdf,"/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R003/PDFs/In-hospital_worsening_heart_failure_and_associations_with_mortality,_readmission,_and_healthcare_utilization..pdf",application/pdf,351892,11,9c09b45126d025ade52908da2131e013b3d30c1c8d95c60cf76a073945070387,
R004,Development and validation of a risk model for in-hospital worsening heart failure from the Acute Decompensated Heart Failure National Registry (ADHERE).,10.1016/j.ahj.2016.04.021,27502870,,OA_only_search_exhausted,https://doi.org/10.1016/j.ahj.2016.04.021,OpenAlex oa_status=closed; no authorized OA main PDF identified; SI=no,no_authorized_pdf_found,,,,,,"No authorized OA main PDF was identified in the audited routes. If the user has authorized access or a Zotero attachment, Phase 3 may reconcile it read-only; Phase 2 did not inspect Zotero. No paywall bypass and no SI download."
R005,A systematic review of in-hospital worsening heart failure as an endpoint in clinical investigations of therapy for acute heart failure.,10.1016/j.ijcard.2017.10.023,29050923,,OA_only_search_exhausted,https://doi.org/10.1016/j.ijcard.2017.10.023,OpenAlex oa_status=closed; no authorized OA main PDF identified; SI=no,no_authorized_pdf_found,,,,,,"No authorized OA main PDF was identified in the audited routes. If the user has authorized access or a Zotero attachment, Phase 3 may reconcile it read-only; Phase 2 did not inspect Zotero. No paywall bypass and no SI download."
R008,Implications of Using Different Definitions on Outcomes in Worsening Heart Failure.,10.1161/circheartfailure.116.003048,27514750,PMC5139347,OA_path_unresolved_or_fetch_blocked,https://doi.org/10.1161/circheartfailure.116.003048,OpenAlex oa_status=bronze; license=unspecified; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=pdf_fetch_failed; detail=HTTP 403). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R009,Early vs. late worsening heart failure during acute heart failure hospitalization: insights from the PROTECT trial.,10.1002/ejhf.308,26083764,PMC5687792,OA_path_unresolved_or_fetch_blocked,https://www.ncbi.nlm.nih.gov/pmc/articles/5687792,OpenAlex oa_status=green; license=unspecified; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=oa_not_found). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R011,Worsening Heart Failure Following Admission for Acute Heart Failure: A Pooled Analysis of the PROTECT and RELAX-AHF Studies.,10.1016/j.jchf.2015.01.007,25951761,,OA_path_unresolved_or_fetch_blocked,https://research.rug.nl/en/publications/f0d150e9-5646-487e-9ca5-b5033e90e1c7,OpenAlex oa_status=green; license=other-oa; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=oa_not_found). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R014,Worsening heart failure in 'real-world' clinical practice: predictors and prognostic impact.,10.1002/ejhf.515,27071748,,OA_path_unresolved_or_fetch_blocked,https://doi.org/10.1002/ejhf.515,OpenAlex oa_status=bronze; license=unspecified; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=pdf_fetch_failed; detail=HTTP 403). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R019,Prediction of cardiac worsening through to cardiogenic shock in patients with acute heart failure.,10.1002/ehf2.14792,38632837,PMC11287305,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11287305/,PMC OA dataset canonical main PDF; article license=CC BY-NC-ND; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC11287305.1/PMC11287305.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R019/PDFs/Prediction_of_cardiac_worsening_through_to_cardiogenic_shock_in_patients_with_acute_heart_failure..pdf,application/pdf,816002,10,bdb302972663dd647ec3db013ba18f39c0ea16e179a3a88e59bbb02d0b201aeb,
