record_id,title,authors,year,journal,language,study_design,population,outcome,time_anchor,doi,pmid,pmcid,arxiv_id,landing_url,source_databases,retrieved_at,screening_status,exclusion_reason,evidence_stream,relevance_score,quality_grade,verification_status,core25_flag,fulltext40_flag,first15_flag,legacy_seed_flag
R001,"Worsening of Chronic Heart Failure: Definition, Epidemiology, Management and Prevention. A Clinical Consensus Statement by the Heart Failure Association of the European Society of Cardiology","Metra, Marco; Tomasoni, Daniela; Adamo, Marianna; Bayes-Genis, Antoni; Filippatos, Gerasimos; Abdelhamid, Magdy; Adamopoulos, Stamatis; Anker, Stefan D.; Antohi, Laura; Böhm, Michael; Braunschweig, Frieder; Ben Gal, Tuvia; Butler, Javed; Cleland, John G.F.; Cohen-Solal, Alain; Damman, Kevin; Gustafsson, Finn; Hill, Loreena; Jankowska, Ewa A.; Lainscak, Mitja; Lund, Lars H.; McDonagh, Theresa; Mebazaa, Alexandre; Moura, Brenda; Mullens, Wilfried; Piepoli, Massimo; Ponikowski, Piotr; Rakisheva, Amina; Ristic, Arsen; Savarese, Gianluigi; Seferovic, Petar; Sharma, Rajan; Tocchetti, Carlo Gabriele; Yilmaz, Mehmet Birhan; Vitale, Cristiana; Volterrani, Maurizio; von Haehling, Stephan; Chioncel, Ovidiu; Coats, Andrew J.S.; Rosano, Giuseppe",2023,European Journal of Heart Failure,English,guideline/consensus,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1002/ejhf.2874,37208936,,,https://doi.org/10.1002/ejhf.2874,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_WHF_outcome_definition,9,A,verified_T1_dual,true,true,false,true
R002,"Worsening Heart Failure: Nomenclature, Epidemiology, and Future Directions","Greene, Stephen J.; Bauersachs, Johann; Brugts, Jasper J.; Ezekowitz, Justin A.; Lam, Carolyn S.P.; Lund, Lars H.; Ponikowski, Piotr; Voors, Adriaan A.; Zannad, Faiez; Zieroth, Shelley; Butler, Javed",2023,Journal of the American College of Cardiology,English,narrative/scoping review,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1016/j.jacc.2022.11.023,36697141,,,https://doi.org/10.1016/j.jacc.2022.11.023,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_WHF_outcome_definition,9,A-,verified_T1_dual,true,true,false,true
R003,"In-hospital worsening heart failure and associations with mortality, readmission, and healthcare utilization.",DeVore AD; Hammill BG; Sharma PP; Qualls LG; Mentz RJ; Waltman Johnson K; Fonarow GC; Curtis LH; Hernandez AF,2014,Journal of the American Heart Association,English,methodological study,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1161/jaha.114.001088,25015076,PMC4310402,,https://doi.org/10.1161/jaha.114.001088,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_WHF_outcome_definition,10,A-,verified_T1_dual,true,true,true,true
R004,Development and validation of a risk model for in-hospital worsening heart failure from the Acute Decompensated Heart Failure National Registry (ADHERE).,DeVore AD; Greiner MA; Sharma PP; Qualls LG; Schulte PJ; Cooper LB; Mentz RJ; Pang PS; Fonarow GC; Curtis LH; Hernandez AF,2016,American heart journal,English,prediction model development/validation,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,in-hospital worsening heart failure / treatment intensification,index AHF admission; in-hospital post-baseline worsening,10.1016/j.ahj.2016.04.021,27502870,,,https://doi.org/10.1016/j.ahj.2016.04.021,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_WHF_outcome_definition,10,A-,verified_T1_dual,true,true,true,true
R005,A systematic review of in-hospital worsening heart failure as an endpoint in clinical investigations of therapy for acute heart failure.,Fonseca C; Maggioni AP; Marques F; Araújo I; Brás D; Langdon RB; Lombardi C; Bettencourt P,2018,International journal of cardiology,English,systematic review,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1016/j.ijcard.2017.10.023,29050923,,,https://doi.org/10.1016/j.ijcard.2017.10.023,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_WHF_outcome_definition,9,A,verified_T1_dual,true,true,false,false
R006,In-hospital worsening heart failure in patients admitted for acute heart failure.,Carubelli V; Cotter G; Davison B; Gishe J; Senger S; Bonadei I; Gorga E; Lazzarini V; Lombardi C; Metra M,2016,International journal of cardiology,English,methodological study,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1016/j.ijcard.2016.10.002,27756041,,,https://doi.org/10.1016/j.ijcard.2016.10.002,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_WHF_outcome_definition,6,B-,verified_T1_dual,false,false,false,false
R007,"Early worsening heart failure in patients admitted for acute heart failure: time course, hemodynamic predictors, and outcome.",Torre-Amione G; Milo-Cotter O; Kaluski E; Perchenet L; Kobrin I; Frey A; Rund MM; Weatherley BD; Cotter G,2009,Journal of cardiac failure,English,randomized trial/secondary analysis,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,in-hospital worsening heart failure / treatment intensification,repeated landmark/update times during hospitalization,10.1016/j.cardfail.2009.04.001,19786251,,,https://doi.org/10.1016/j.cardfail.2009.04.001,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_WHF_outcome_definition,6,B,verified_T1_dual,false,false,false,false
R008,Implications of Using Different Definitions on Outcomes in Worsening Heart Failure.,Kelly JP; Cooper LB; Gallup D; Anstrom KJ; Chen HH; Redfield MM; O'Connor CM; Mentz RJ; Hernanadez AF; Felker GM,2016,Circulation. Heart failure,English,methodological study,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1161/circheartfailure.116.003048,27514750,PMC5139347,,https://doi.org/10.1161/circheartfailure.116.003048,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,fulltext40_priority,,AHF_WHF_outcome_definition,8,B-,verified_T1_dual,false,true,false,false
R009,Early vs. late worsening heart failure during acute heart failure hospitalization: insights from the PROTECT trial.,Mentz RJ; Metra M; Cotter G; Milo O; McKendry C; Chiswell K; Davison BA; Cleland JG; Bloomfield DM; Dittrich HC; Fiuzat M; Ponikowski P; Givertz MM; Voors AA; Teerlink JR; O'Connor CM,2015,European journal of heart failure,English,methodological study,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",during index AHF hospitalization; early versus late WHF,10.1002/ejhf.308,26083764,PMC5687792,,https://doi.org/10.1002/ejhf.308,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,fulltext40_priority,,AHF_WHF_outcome_definition,8,B-,verified_T1_dual,false,true,false,false
R010,Worsening heart failure during hospitalization for acute heart failure: Insights from the Acute Study of Clinical Effectiveness of Nesiritide in Decompensated Heart Failure (ASCEND-HF).,Kelly JP; Mentz RJ; Hasselblad V; Ezekowitz JA; Armstrong PW; Zannad F; Felker GM; Califf RM; O'Connor CM; Hernandez AF,2015,American heart journal,English,methodological study,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1016/j.ahj.2015.04.007,26299227,PMC4581586,,https://doi.org/10.1016/j.ahj.2015.04.007,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_WHF_outcome_definition,6,B-,verified_T1_dual,false,false,false,false
