pool_record_key,title,year,doi,pmid,query_ids,screening_stage,exclusion_reason
doi:10.1097/01.ccm.0001183112.77381.41,279: DEVELOPED MACHINE LEARNING EARLY WARNING SYSTEM FOR INPATIENT DETERIORATION: COMPARATIVE WITH NEWS,2026,10.1097/01.ccm.0001183112.77381.41,,CR3_ICU_HD,pass1_title_metadata,insufficient_topic_relevance
doi:10.1038/s44360-026-00054-9,Access to care affects electronic health record reliability and AI-driven disease prediction,2026,10.1038/s44360-026-00054-9,,CR4_dynamic_EHR,pass1_title_metadata,insufficient_topic_relevance
doi:10.1155/carm/4817187,Acute Right Ventricular Failure Triggered by Excessive Fluid Resuscitation in Septic Shock.,2026,10.1155/carm/4817187,42382576,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1177/08850666251399182,Admission Acid-Base Status and Mortality in Cardiac Intensive Care Unit Patients.,2026,10.1177/08850666251399182,41313337,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,mortality_only_without_early_deterioration_focus
doi:10.1016/j.ijmedinf.2026.106504,Advancing stroke prevention in atrial fibrillation: a systematic review of machine learning-based risk prediction models.,2026,10.1016/j.ijmedinf.2026.106504,42176597,Q6_prediction_reporting_validation,pass1_title_metadata,insufficient_topic_relevance
doi:10.1097/shk.0000000000002858,AI-Driven Real-Time Hyperlactatemia Prediction in ICU: A Multi-Cohort International Retrospective Study with External Validation.,2026,10.1097/shk.0000000000002858,42008773,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,insufficient_topic_relevance
doi:10.5194/egusphere-egu26-12916,AI-Enabled multi-Objective calibration of a wflow_sbm hydrological model of the Nile Basin,2026,10.5194/egusphere-egu26-12916,,CR5_prediction_methods,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.2139/ssrn.6098166,"AI, Robotics, and Energy: The Tripod of the New Revolution and the Geopolitics of Strategic Resources",2026,10.2139/ssrn.6098166,,CR5_prediction_methods,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1016/j.ejso.2025.111170,Application of machine learning algorithms and establishment of a web calculator in predicting distant metastasis of T2-T4 gastric cancer.,2026,10.1016/j.ejso.2025.111170,41242086,Q6_prediction_reporting_validation,pass1_title_metadata,unrelated_clinical_domain
doi:10.3390/jpm16020069,Artificial Intelligence in Adult Cardiovascular Medicine and Surgery: Real-World Deployments and Outcomes.,2026,10.3390/jpm16020069,41745362,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,insufficient_topic_relevance
doi:10.7759/cureus.110241,"Artificial Intelligence for Neonatal Sepsis Prediction: A Review of Advances, Clinical Integration, and Future Prospects.",2026,10.7759/cureus.110241,42403824,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,ineligible_population_pediatric_or_pregnancy
doi:10.1097/aco.0000000000001613,Artificial intelligence and predictive analytics in obstetric anesthesia: early warning for maternal complications.,2026,10.1097/aco.0000000000001613,41684266,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,insufficient_topic_relevance
