"step_id","step_name","table_name","n_rows","n_subjects","n_hadm","n_stay","excluded_from_prior","notes","created_at"
"10","adult_first_icu","study_ahf.cohort_010_adult_first_icu_v1","65366","65366","65366","65366",,"Adult patients, first ICU stay per subject.","29/4/2026 16:53:08.065215"
"20","hf_icd_candidate","study_ahf.cohort_020_hf_icd_candidate_v1","14877","14877","14877","14877","50489","Broad HF ICD candidate based on discharge/billing ICD codes. Not final AHF-at-ICU-admission cohort.","29/4/2026 17:23:05.830922"
"30","ahf_early_evidence_labels","study_ahf.cohort_030_ahf_evidence_early_window_v1","14877","14877","14877","14877","0","Evidence-label table among HF ICD candidates. No exclusion applied. Early window: ICU intime -24h to +24h.","29/4/2026 22:20:45.025824"
"31","ahf_early_evidence_labels_v2","study_ahf.cohort_030_ahf_evidence_early_window_v2","14877","14877","14877","14877","0","Revised early AHF evidence table. eMAR route was largely missing, so IV loop evidence primarily uses prescriptions route; eMAR is retained as supportive evidence.","29/4/2026 23:14:23.40923"
"40","ahf_strict_primary","study_ahf.cohort_040_ahf_strict_v1","8271","8271","8271","8271","6606","Main AHF-present-at-ICU-admission cohort: HF ICD seq <=5 and early AHF evidence.","29/4/2026 23:14:23.416214"
"41","ahf_relaxed_primary","study_ahf.cohort_040_ahf_relaxed_v1","10098","10098","10098","10098","4779","Relaxed AHF sensitivity cohort: early AHF evidence without HF ICD seq restriction.","29/4/2026 23:14:23.419247"
"42","ahf_very_strict_primary","study_ahf.cohort_040_ahf_very_strict_v1","5003","5003","5003","5003","9874","Very strict AHF sensitivity cohort: acute/acute-on-chronic HF ICD plus early IV loop prescription or NT-proBNP >=300.","29/4/2026 23:14:23.422617"
"50","pre24_overt_cs_flags","study_ahf.outcome_050_pre24_overt_cs_flags_v1","8271","8271","8271","8271","0","Pre-24h overt CS proxy flags created in strict AHF cohort. No exclusion applied in this table.","30/4/2026 00:11:19.40498"
"51","landmark24_riskset_main","study_ahf.cohort_050_landmark24_riskset_main_v1","5557","5557","5557","5557","2714","Reached 24h landmark and excluded pre24 overt CS by main proxy: vasoactive/inotrope support plus lactate >=2.","30/4/2026 00:11:19.409159"
"52","landmark24_riskset_broad_sensitivity","study_ahf.cohort_050_landmark24_riskset_broad_v1","4591","4591","4591","4591","3680","Reached 24h landmark and excluded pre24 overt CS by broad sensitivity proxy.","30/4/2026 00:11:19.412166"
"61","ahf_evidence_12h","study_ahf.cohort_061A_ahf_evidence_early_window_12h_v1","14877","14877","14877","14877","0","AHF evidence table for 12h landmark. Evidence window: ICU intime -24h to +12h.","30/4/2026 00:59:51.844374"
"62","ahf_strict_12h","study_ahf.cohort_061B_ahf_strict_12h_v1","7562","7562","7562","7562","7315","Strict AHF cohort for 12h landmark: HF ICD seq <=5 plus early AHF evidence by 12h.","30/4/2026 00:59:51.849437"
"63","pre12_overt_cs_flags","study_ahf.outcome_061C_pre12_overt_cs_flags_v1","7562","7562","7562","7562","0","Pre-12h overt CS proxy flags created in strict AHF 12h cohort. No exclusion applied in this table.","30/4/2026 00:59:51.852972"
"64","landmark12_riskset_main","study_ahf.cohort_061D_landmark12_riskset_main_v1","6301","6301","6301","6301","1261","Reached 12h landmark and excluded pre12 overt CS by main proxy.","30/4/2026 00:59:51.855579"
"65","post12_future48_overt_cs_outcome","study_ahf.outcome_061E_post12_overt_cs_future48h_main_v1","6301","6301","6301","6301","0","Outcome table for candidate main analysis: 12h landmark, future 48h window, new overt CS proxy.","30/4/2026 00:59:51.864216"
"66","post12_outcome_with_earlysepsis12_flags","study_ahf.outcome_062A_post12_outcome_with_earlysepsis12_v1","6301","6301","6301","6301","0","Added early sepsis flags to 12h AHF risk set outcome table. Early sepsis main definition uses sepsis3 evidence available by 12h landmark.","30/4/2026 01:30:38.626128"
"67","ahf_earlysepsis12_main_analysis","study_ahf.outcome_062B_ahf_earlysepsis12_post12_future48_main_v1","2424","2424","2424","2424","3877","Candidate main analysis cohort: AHF plus early sepsis by 12h, no pre12 overt CS, prediction window 12-60h.","30/4/2026 01:30:38.629598"
"68","primary_hd_deterioration_outcome","study_ahf.outcome_064_primary_hd_deterioration_v1","2424","2424","2424","2424","3877","Primary analysis cohort and outcome: AHF plus early sepsis by 12h, landmark 12h, future 48h hemodynamic deterioration. Primary outcome includes support initiation, increased agent count, NEE increase >=0.05, or death.","30/4/2026 09:46:30.510747"
