module_id,priority,recommended_output_name,local_database_table_or_view_to_fill,local_extraction_sql_or_path_to_fill,source_system,one_row_represents,must_have_fields,strongly_recommended_fields,time_window_to_extract,why_needed,derived_mimic_features_later,minimum_acceptable_fallback,completion_status_to_fill,notes_or_blockers_to_fill
S01,必须-第一批,hospital_icu_stays.csv,,,HIS/ADT/ICU 入出科系统,一次 ICU stay,"patient_id脱敏, encounter_id, icu_stay_id或可生成stay的字段, hospital_admit_time, hospital_discharge_time, icu_intime, icu_outtime, death_time或死亡标志","sex, age或birth_date脱敏后年龄, first_careunit, admission_type, discharge_status",全住院 + ICU 入出科全程,生成研究对象、landmark12、window60、死亡结局和所有表的连接主键,"subject_id/hadm_id/stay_id, intime, landmark12_time, window60_time, age, sex, first ICU unit",没有 icu_stay_id 时，用 patient_id + encounter_id + icu_intime + icu_outtime 生成,未开始,
S02,必须-第一批,hospital_diagnoses.csv,,,HIS/病案首页/诊断编码表,一条诊断编码或诊断名称,"patient_id, encounter_id, diagnosis_code, diagnosis_name, diagnosis_sequence, diagnosis_type, icd_version或编码体系","diagnosis_time, admission_or_discharge_diagnosis_flag, principal_diagnosis_flag",index 住院及既往可获得诊断,定义 AHF 队列、Charlson 合并症、感染来源/基础疾病,"HF ICD evidence, acute HF flag, Charlson components, infection source candidate",如果无 ICD 编码，至少导出诊断名称、诊断顺序和诊断类型,未开始,
S03,必须-第一批,hospital_vitals_long.csv,,,ICU 护理记录/监护系统,一次生命体征记录，或同一时间点多项生命体征,"patient_id或encounter_id或icu_stay_id, charttime, heart_rate, sbp, dbp, map或mbp, resp_rate, spo2, temperature","measurement_source, device/source flag, value_unit, nurse_verified_flag",ICU 入科前6小时到入科后12小时；至少 ICU 0-12h,当前模型核心变量，也是 080A 动态血流动力学负荷特征来源,"HR/SBP/MAP/RR/SpO2 first/last/min/max/mean/delta, MAP<65比例, shock index, modified shock index, pulse pressure, slopes",若无 MAP，可用 SBP/DBP 估算 MAP；若只有班次汇总，趋势和负荷会受限,未开始,
S04,必须-第一批,hospital_labs_long.csv,,,LIS 检验系统,一次检验项目结果,"patient_id, encounter_id, sample_time或charttime, test_code, test_name, result_value, result_unit","specimen_type, reference_range, abnormal_flag, result_status",住院入院前24小时到 ICU 入科后12小时；至少 ICU 0-12h,当前模型实验室特征与后续心衰/心肌损伤特征,creatinine/BUN/electrolytes/CBC/coagulation/anion gap/albumin first/last/min/max/mean/delta,如果不同检验系统分表，先按项目名统一成长表,未开始,
S05,必须-第一批,hospital_bloodgas_lactate_long.csv,,,LIS/血气系统,一次血气或乳酸结果,"patient_id, encounter_id或icu_stay_id, sample_time, lactate, ph, bicarbonate或hco3, base_excess, po2, pco2","specimen_type动脉/静脉, fio2, oxygen_device, result_unit",住院入院前24小时到 ICU 入科后12小时；至少 ICU 0-12h,当前模型已有乳酸/酸碱变量，后续要做乳酸清除率和酸碱趋势,"lactate first/last/min/max/mean/delta, lactate clearance, persistent lactate elevation, pH/HCO3/base excess trends",若无 specimen_type 也可先导出，但需在审计中标记,未开始,
S06,必须-第一批,hospital_vasoactive_administration_long.csv,,,用药执行/eMAR/输注泵/ICU 治疗系统,一次升压药或强心药实际执行/输注区间,"patient_id, encounter_id或icu_stay_id, drug_name, start_time, end_time, dose_or_rate, dose_unit, route","patient_weight_kg_at_time, concentration, pump_rate, order_id, administration_status, stop_reason",ICU 入科前6小时到入科后60小时；至少 ICU 0-60h,这是 pre12 shock 排除、0-12h 支持特征、12-60h 结局标签的关键表,"vasopressor/inotrope flags, agent count, NEE 0-12h, pre12 NEE max, post12 NEE delta, support escalation outcome",如果没有输注泵，优先实际给药执行记录；单纯医嘱只能做敏感性分析,未开始,
S07,必须-第一批,hospital_diuretic_administration_long.csv,,,用药执行/eMAR/医嘱系统,一次袢利尿剂给药记录,"patient_id, encounter_id或icu_stay_id, drug_name, administration_time或start_time, dose, dose_unit, route","end_time, administration_status, order_time, order_id",入院前24小时到 ICU 入科后12小时；后续可扩展到 0-60h,AHF 证据、容量治疗反应和尿量/利尿剂反应,"iv_loop_rx_early12_flag, loop diuretic furosemide-equivalent dose, urine per diuretic response",若只有医嘱，标记为 order_only，不能等同实际执行,未开始,
S08,必须-第一批,hospital_antibiotics_administration_long.csv,,,用药执行/eMAR/抗菌药医嘱,一次抗菌药给药或医嘱记录,"patient_id, encounter_id或icu_stay_id, antibiotic_name, start_time或administration_time, end_time, route, dose","order_time, administration_status, drug_class",ICU 入科前24小时到入科后12小时,疑似感染和 early sepsis12 定义,"suspected infection timing, early_sepsis12 flags",实际执行优先；若只有医嘱，需同步培养时间佐证,未开始,
S09,必须-第一批,hospital_cultures_microbiology_long.csv,,,LIS/微生物系统,一次培养送检或微生物结果,"patient_id, encounter_id或icu_stay_id, culture_time, specimen_type, test_name","result_time, organism, susceptibility, positive_flag, collection_site",ICU 入科前24小时到入科后60小时；至少 -24到12h 用于 sepsis,疑似感染定义、感染来源分类和院内数据审计,"suspicion_of_infection, infection source category",若无最终结果，至少要送检时间和标本部位,未开始,
S10,必须-第二批,hospital_output_urine_long.csv,,,ICU 护理出量记录,一次尿量或出量记录,"patient_id, encounter_id或icu_stay_id, charttime或start_time/end_time, output_type, volume_ml","catheter_flag, measurement_interval, nurse_verified_flag",ICU 0-12h；后续可扩展到 0-60h,当前模型尿量变量，后续容量/利尿反应,"urineoutput_0_12h_total_ml, low urine output flag, urine/diuretic response",若只有班次总尿量，需要班次开始/结束时间用于分摊,未开始,
