"优先级","证据层","文献","年份","人群/数据","结局与时间锚点","样本与事件","验证","主要结果","对当前研究的直接支撑","关键局限/风险","Zotero状态","建议动作","链接"
"A1","结局定义","Metra et al. Worsening of chronic heart failure: definition, epidemiology, management and prevention","2023","WHF 临床共识","临床状态恶化并需强化治疗","共识","不适用","强调治疗强化是 WHF 构念核心","可为 treatment-escalation–based deterioration 命名与临床意义背书","共识不等于预测模型；慢性/住院 WHF 与 AHF+sepsis 仍有差异","已有：C2SNE5WH；全文+详细笔记","保留为结局定义最高层依据；增加黄色定义高光","https://doi.org/10.1002/ejhf.2874"
"A1","结局定义/预后","DeVore et al. In-hospital worsening heart failure and associations with mortality, readmission, and healthcare utilization","2014","ADHERE+Medicare AHF","入院≥12 h 后治疗升级型 WHF","63727；WHF 11%","真实世界外部结局关联","WHF 与30天死亡、再入院及费用升高相关","证明12 h后治疗升级不是随意终点，且具预后与资源价值","依赖医生治疗行为；美国老年医保人群","待核对是否已有","导入；高光 definition、adjusted mortality、cost","https://pubmed.ncbi.nlm.nih.gov/25015076/"
"A1","静态预测基准","DeVore et al. Development and validation of a risk model for in-hospital worsening heart failure from ADHERE","2016","住院 AHF","入院>12 h后治疗升级型 WHF","23696；事件率15.4%/15.6%","随机66/34验证","c-statistic 0.74开发、0.72验证；troponin/creatinine重要","当前模型清洁固定测试 AUROC约0.727与经典WHF模型相当；可作为传统基准","随机内部验证；缺少现代跨中心校准","待导入","必导入；作为 Discussion 直接性能参照","https://pubmed.ncbi.nlm.nih.gov/27502870/"
"A1","AHF恶化/候选变量","Beer et al. Prediction of cardiac worsening through to cardiogenic shock in patients with acute heart failure","2024","单中心 CYCLE AHF","WHF治疗升级；SCAI A进展为> A","正文n=223；WHF 96；新发CS 18","无独立验证","肾功能、TR、proADM与恶化相关；NT-proBNP对CS不稳定","直接支持从WHF到CS的临床谱系及超声/肾功能候选变量","事件少；仅有限调整；223/233内部不一致；治疗行为标签","已有：Z55EWT4L；全文","完成Paper Card；按颜色体系做全文高光","https://doi.org/10.1002/ehf2.14792"
"A1","动态CS预测","Hu et al. Development and external validation of a dynamic risk score for early prediction of cardiogenic shock","2024","MIMIC-III CICU，ADHF和/或MI；NYU外部","逐小时新发cardiogenic/mixed shock","开发1500/事件204；外部131/事件25","独立医院外部验证","内部AUROC 0.821、AUPRC 0.387；外部AUROC 0.800；平均约37 h提前","证明纵向EHR预测新发CS可行；提供动态特征、外部映射与预警时间框架","ADHF亚组AUROC约0.756；外部事件少；测量过程偏倚","已有：ZRRLFBHW；全文","完成Paper Card；方法和局限重点高光","https://doi.org/10.1093/ehjacc/zuae037"
"A1","AHF→CS临床可行动性","Rahman et al. Using Machine Learning for Early Prediction of Cardiogenic Shock in Patients With Acute Heart Failure","2022","ADHF住院患者","住院期新发CS","24461；CS 265","时间/队列验证见原文","高风险组CS患病率约10.2倍；中位提前约1.7 d；人工复核提示部分FP仍为临床高危","最接近“AHF住院后恶化”的临床行动性先例；可借鉴FP/TP病历复核","事件稀少；治疗与诊断流程影响标签；需核对完整验证细节","待导入","必导入；制作第3张Paper Card","https://doi.org/10.1016/j.jscai.2022.100308"
"A1","跨场景CS预警","Chang et al. Early Prediction of Cardiogenic Shock Using Machine Learning","2022","区域医疗系统CC/ED/病房","首次CS干预前2 h","8年EHR；样本量见全文","分场景评估","总体AUC 0.87；CC 0.81、ED 0.84、病房0.97","支持把首次升压/强心/MCS干预作为可操作预测锚点","干预定义受治疗行为影响；跨场景患病率/校准需关注","待导入","导入；重点摘录label与2 h warning设计","https://doi.org/10.3389/fcvm.2022.862424"
"A1","最新直接竞争文献","Machine learning-based early warning system for hemodynamic deterioration in cardiovascular ICU patients: a bidirectional cross-validation study","2026","MIMIC-IV v3.0与eICU心血管ICU/心血管病人群","首24 h特征；后续ICU严格复合HD","MIMIC 46007；eICU 50949","双向跨数据库外部验证","14特征；外部AUROC约0.841/0.852；两库事件率44% vs 15.5%","证明广义HD预警已存在强先例；迫使本课题突出AHF+early sepsis、固定landmark/48h和中国外部验证","公开报告中预测窗口/2–6 h预警与首24 h特征关系需进一步澄清；结局率漂移大","检索未发现已有","必导入并精读；不得再声称“首次HD预测”","https://doi.org/10.3389/fcvm.2025.1694001"
"A2","AHF+sepsis直接背景","Zhang et al. Survival prediction for heart failure complicated by sepsis: based on machine learning methods","2024","eICU开发、MIMIC-IV外部；HF+sepsis","28日全因死亡","eICU 3891；MIMIC 2928","跨数据库外部验证","LR验证AUC 0.746；外部AUC 0.699；10特征","证明AHF/HF+sepsis人群可研究且跨数据库存在明显性能下降；支持液体、升压药、生命体征候选变量","研究死亡而非早期HD；HF多为ICD且非严格AHF；可能含结局期治疗变量","待导入/已有旧综述表","导入；Discussion中作为“已有研究多聚焦死亡”的代表","https://doi.org/10.3389/fmed.2024.1410702"
"A2","ICU HF恶化方法先例","Essay et al. Decompensation in Critical Care: Early Prediction of Acute Heart Failure Onset","2020","美国>200家医院tele-ICU","ICU住院中AHF onset/decompensation","26534风险人群+96350对照","内部/多中心数据库","RF最高AUROC约0.9503；约200 min生命体征窗口出现收益递减","支持生命体征时间窗与动态摘要特征","任务是预测新发AHF而非AHF患者后续HD；高性能不宜直接比较","已有：YBFA5S28；全文","保留；高光时间窗和人群定义","https://doi.org/10.2196/19892"
